GENE_SYMBOL,logFC,P.Value
H1FX-AS1,-1.7665295,8.47e-07
BDKRB2,1.8147426,9.98e-07
TRAIP,-1.245296,1.14e-06
TXNIP,-2.2373355,1.34e-06
ARRDC4,-1.62187,1.54e-06
PRSS56,1.7073146,2.3e-06
DARC,-1.4976285,2.35e-06
AMH,-1.7401645,3.04e-06
C11orf96,1.2201402,3.26e-06
C9orf24,-1.9984748,3.63e-06
IL11,1.1246524,4.26e-06
FABP3,2.0873328,4.52e-06
RDH5,-1.1405439,4.54e-06
LY6G5C,-1.3751018,5.32e-06
LMO1,-1.2006362,6.3e-06
ITGA10,-1.2674807,7.37e-06
TMEM176A,0.9687992,7.42e-06
XLOC_008662,-1.3435615,8.06e-06
CDH9,-1.1114126,8.72e-06
GPR39,-1.0695281,9.72e-06
C6orf125,0.9463747,9.88e-06
GDF15,1.0052664,9.96e-06
DDX17,-1.2299119,9.97e-06
FOXD4,-0.9866092,9.99e-06
DNAJC22,-1.1746466,1.07e-05
NPPC,0.9146002,1.08e-05
LOC387723,-0.9692476,1.08e-05
LCN15,0.9849887,1.1e-05
C10orf116,1.4899964,1.27e-05
RNF125,-0.9223957,1.39e-05
PDK4,0.9542196,1.41e-05
TMEM190,1.1475144,1.44e-05
ECEL1,1.2303766,1.45e-05
MIR7-3HG,1.2476208,1.51e-05
PLA2G16,1.0929037,1.55e-05
FLJ16779,-0.933253,1.56e-05
PSPN,-1.0012922,1.63e-05
IPO9,-1.1145853,1.67e-05
LOC729970,0.9399196,1.72e-05
AMIGO3,-0.8647952,1.81e-05
SYT6,-0.9910794,1.84e-05
SYNPR,-0.8734762,1.85e-05
FBXO9,-1.0444783,1.92e-05
LMO3,-1.6255292,1.94e-05
DLK1,0.9651707,1.95e-05
GNAT3,-0.91553,2.03e-05
FAM101B,-0.9616881,2.13e-05
PLEKHB1,1.0832419,2.18e-05
QRICH2,-0.8669345,2.36e-05
POPDC2,-0.9537154,2.47e-05
RHBDF1,0.9912461,2.53e-05
LRRC36,0.7676636,2.61e-05
PENK,-1.7883758,2.69e-05
WSCD1,1.1392069,2.69e-05
PKI55,-1.0699988,2.72e-05
ADA,0.7678776,2.73e-05
EIF5,-0.7944163,2.75e-05
NGB,-1.1400109,2.91e-05
C1QL4,-0.9198007,3.03e-05
EPDR1,0.9082782,3.08e-05
CECR5-AS1,0.9892543,3.18e-05
UAP1L1,0.7771627,3.23e-05
B7H6,0.7908397,3.29e-05
FAM181B,-0.7612107,3.55e-05
MYH7B,0.8935844,3.59e-05
NKD2,1.3712397,3.62e-05
CDH18,-1.0136042,3.67e-05
TMEM54,0.7596834,3.86e-05
PCDH8,-1.2320488,3.89e-05
LOC100507194,0.8924504,4.05e-05
FAM5C,-1.2653797,4.22e-05
CPEB1,0.9526807,4.22e-05
ZCWPW1,0.8768723,4.23e-05
DUSP5P,-0.7552568,4.45e-05
RAB36,-0.7652278,4.46e-05
TRPC4,-0.8149691,4.51e-05
BLVRB,0.8448713,4.52e-05
TMEM52,0.7579142,4.86e-05
NECAB2,0.7328772,5e-05
NAGPA,-0.7673916,5.1e-05
NTRK3,-0.8740329,5.13e-05
SDIM1,1.0337224,5.25e-05
TBC1D2,0.7368623,5.36e-05
LOC100128071,-0.6673586,5.72e-05
IKBKAP,-0.861575,5.74e-05
GTF2H5,0.8633817,5.75e-05
PSMB10,0.7609102,5.77e-05
