GENE_SYMBOL,logFC,P.Value,FDR
H1FX-AS1,-1.8692234,1.42e-07,0.0015091759999999999
PENK,-2.1863543,5.51e-07,0.0036985440000000002
DARC,-1.5590276,8.5e-07,0.0036985440000000002
PRSS56,1.7834825,8.7e-07,0.0036985440000000002
LOC388882,-1.1559718,1.52e-06,0.004772938181818181
ARRDC4,-2.0153342,2.23e-06,0.004772938181818181
TXNIP,-2.4591336,2.24e-06,0.004772938181818181
LY6G5C,-1.3756379,2.29e-06,0.004772938181818181
FLJ16779,-1.1147593,2.42e-06,0.004772938181818181
LRTM2,-1.5920882,2.47e-06,0.004772938181818181
HSD17B14,1.1811513,3.35e-06,0.005511377142857142
DLK1,1.22452,3.38e-06,0.005511377142857142
ECEL1,1.6090366,3.63e-06,0.005511377142857142
FABP3,2.229522,4.27e-06,0.0057789749999999996
C11orf96,1.421965,4.35e-06,0.0057789749999999996
HSD3B7,1.0960907,6.36e-06,0.006882895238095238
NKD2,1.3940646,6.56e-06,0.006882895238095238
CDH3,1.0571944,6.91e-06,0.006882895238095238
PLEKHB1,1.1231616,6.92e-06,0.006882895238095238
nan,-0.00035488564231737994,1.775502238720078e-35,3.7740075586233976e-31
XLOC_008662,-1.5854464,7.37e-06,0.006882895238095238
LOC100507194,0.9237947,7.52e-06,0.006882895238095238
C1QL4,-1.0369955,7.99e-06,0.006882895238095238
BDKRB2,2.0103999,8.02e-06,0.006882895238095238
CLCNKB,0.9811276,8.21e-06,0.006882895238095238
SYNPR,-1.0145697,9.2e-06,0.006882895238095238
DDX17,-1.2732876,9.48e-06,0.006882895238095238
TOB2P1,-1.073177,9.78e-06,0.006882895238095238
MFSD6,-0.9204285,9.97e-06,0.006882895238095238
TMEM8A,0.9271637,1.01e-05,0.006882895238095238
GPR39,-1.5970813,1.03e-05,0.006882895238095238
RAB36,-0.8866657,1.14e-05,0.006882895238095238
C9orf24,-1.9138148,1.19e-05,0.006882895238095238
BGLAP,0.8756215,1.21e-05,0.006882895238095238
TBC1D2,0.8727191,1.21e-05,0.006882895238095238
CECR5-AS1,1.1618259,1.23e-05,0.006882895238095238
DNAJC22,-1.1584692,1.25e-05,0.006882895238095238
C10orf116,1.628952,1.26e-05,0.006882895238095238
HBQ1,1.0204247,1.3e-05,0.006882895238095238
TMEM54,0.8387651,1.32e-05,0.006882895238095238
ZCWPW1,0.924778,1.35e-05,0.006882895238095238
COL5A2,-1.0862484,1.36e-05,0.006882895238095238
LRRC66,-1.5297779,1.45e-05,0.006959625806451613
LINGO3,0.8142704,1.59e-05,0.006959625806451613
IKBKAP,-1.0556791,1.65e-05,0.006959625806451613
