GENE_SYMBOL,logFC,P.Value,FDR,-log10(FDR),significant
nan,0.006576849370277087,1.924711749771453e-34,4.091552237664155e-30,29.388111899728145,False
H1FX-AS1,-1.7665295,8.47e-07,0.00545622,2.2631081268303594,True
BDKRB2,1.8147426,9.98e-07,0.00545622,2.2631081268303594,True
TRAIP,-1.245296,1.14e-06,0.00545622,2.2631081268303594,True
TXNIP,-2.2373355,1.34e-06,0.00545622,2.2631081268303594,True
ARRDC4,-1.62187,1.54e-06,0.00545622,2.2631081268303594,True
PRSS56,1.7073146,2.3e-06,0.0062445375,2.2044997220033866,True
DARC,-1.4976285,2.35e-06,0.0062445375,2.2044997220033866,True
AMH,-1.7401645,3.04e-06,0.006893665714285713,2.161549780104313,True
C11orf96,1.2201402,3.26e-06,0.006893665714285713,2.161549780104313,True
C9orf24,-1.9984748,3.63e-06,0.006893665714285713,2.161549780104313,True
IL11,1.1246524,4.26e-06,0.006893665714285713,2.161549780104313,True
FABP3,2.0873328,4.52e-06,0.006893665714285713,2.161549780104313,True
RDH5,-1.1405439,4.54e-06,0.006893665714285713,2.161549780104313,True
LY6G5C,-1.3751018,5.32e-06,0.007539504,2.122657224043812,True
LMO1,-1.2006362,6.3e-06,0.008063379310344827,2.0934829100239103,True
ITGA10,-1.2674807,7.37e-06,0.008063379310344827,2.0934829100239103,True
TMEM176A,0.9687992,7.42e-06,0.008063379310344827,2.0934829100239103,True
XLOC_008662,-1.3435615,8.06e-06,0.008063379310344827,2.0934829100239103,True
CDH9,-1.1114126,8.72e-06,0.008063379310344827,2.0934829100239103,True
GPR39,-1.0695281,9.72e-06,0.008063379310344827,2.0934829100239103,True
C6orf125,0.9463747,9.88e-06,0.008063379310344827,2.0934829100239103,True
GDF15,1.0052664,9.96e-06,0.008063379310344827,2.0934829100239103,True
DDX17,-1.2299119,9.97e-06,0.008063379310344827,2.0934829100239103,True
FOXD4,-0.9866092,9.99e-06,0.008063379310344827,2.0934829100239103,True
DNAJC22,-1.1746466,1.07e-05,0.008063379310344827,2.0934829100239103,True
LOC387723,-0.9692476,1.08e-05,0.008063379310344827,2.0934829100239103,True
NPPC,0.9146002,1.08e-05,0.008063379310344827,2.0934829100239103,True
LCN15,0.9849887,1.1e-05,0.008063379310344827,2.0934829100239103,True
C10orf116,1.4899964,1.27e-05,0.008962832432432432,2.0475547229957125,True
RNF125,-0.9223957,1.39e-05,0.008962832432432432,2.0475547229957125,True
PDK4,0.9542196,1.41e-05,0.008962832432432432,2.0475547229957125,True
TMEM190,1.1475144,1.44e-05,0.008962832432432432,2.0475547229957125,True
ECEL1,1.2303766,1.45e-05,0.008962832432432432,2.0475547229957125,True
MIR7-3HG,1.2476208,1.51e-05,0.008962832432432432,2.0475547229957125,True
PLA2G16,1.0929037,1.55e-05,0.008962832432432432,2.0475547229957125,True
FLJ16779,-0.933253,1.56e-05,0.008962832432432432,2.0475547229957125,True
PSPN,-1.0012922,1.63e-05,0.009011543478260869,2.045200817602235,True
IPO9,-1.1145853,1.67e-05,0.009011543478260869,2.045200817602235,True
LOC729970,0.9399196,1.72e-05,0.009011543478260869,2.045200817602235,True
AMIGO3,-0.8647952,1.81e-05,0.009011543478260869,2.045200817602235,True
SYT6,-0.9910794,1.84e-05,0.009011543478260869,2.045200817602235,True
SYNPR,-0.8734762,1.85e-05,0.009011543478260869,2.045200817602235,True
FBXO9,-1.0444783,1.92e-05,0.009011543478260869,2.045200817602235,True
LMO3,-1.6255292,1.94e-05,0.009011543478260869,2.045200817602235,True
