GENE_SYMBOL,logFC,P.Value,FDR
ABCB11,4.1036933,5.52e-11,1.6656994285714286e-07
FETUB,2.727036,1.53e-09,2.938017272727273e-06
ABCB4,2.0649533,2.16e-09,3.509667692307692e-06
MFSD2A,2.9862373,2.802213538037306e-16,1.4797789140990503e-12
AQP9,2.8912343,4.66e-09,7.0309414285714286e-06
SLC51A,2.443169,1.83e-08,2.2738288235294117e-05
RGS4,-0.523771,2.2974529398370453e-06,0.0010549804010473458
PEG10,1.75923,2.23e-08,2.6169050000000003e-05
PALMD,1.8645117,3.78e-08,3.992247e-05
G6PC,1.812536,4.36e-08,4.385537142857143e-05
SLC51B,2.2202877,2.5e-07,0.00022959782608695652
ITIH3,1.563426,3.39e-07,0.0002872728
SLC6A1,1.742518,3.4e-07,0.0002872728
SLC1A1,1.3463227,3.66e-07,0.0002973468461538462
PFKFB1,1.874719,4.46e-07,0.0003248571724137931
DCLK1,1.6020953,5.04e-07,0.0003548664
RAB3C,1.287435,5.63e-07,0.00038362093548387097
TCEA2,1.6001433,5.94e-07,0.00039209568750000004
ARL15,1.3223367,7.23e-07,0.0004497956470588235
CYP7A1,-2.547528,7.24e-07,0.0004497956470588235
PLPP1,1.0474713,9.47e-07,0.00055565225
ITGB3,1.440479,1.54e-06,0.0008340876923076924
IL7R,-1.1500987,1.7e-06,0.0008851542857142858
TPM1,1.0229053,1.76e-06,0.0008851542857142858
PDE7B,1.3921043,1.89e-06,0.0009284295348837209
ANGPTL3,-1.479639,2e-06,0.0009601363636363636
ARRDC4,1.1150073,2.5e-06,0.001123563829787234
CXCL10,1.2302913,2.78e-06,0.0012233737499999999
PHKA1,1.3039683,4.76e-06,0.00197148
ALDH9A1,0.8935583,5.67e-06,0.002303219423076923
ST6GAL1,-1.0125877,6.41e-06,0.0025073783333333334
SLC17A4,0.943141,7.72e-06,0.0027495105000000003
CYP4X1,-0.936786,7.81e-06,0.0027495105000000003
DHRS9,1.3142117,7.95e-06,0.0027529155737704915
ALDOB,-1.3045467,8.96e-06,0.0030526141935483873
SLC46A3,0.960753,2.1034975910483876e-09,3.509667692307692e-06
DTX4,0.9131363,9.81e-06,0.0032891528571428567
