GENE_SYMBOL,logFC,P.Value,FDR,-log10(FDR),significant
MFSD2A,3.6012437,7.055813627009043e-19,1.49039951243312e-14,13.826697300186183,True
CCL2,2.7773903,2.388565283812422e-17,2.522683224498489e-13,12.598137280790226,True
nan,0.017592778891170408,4.457580515406433e-17,3.1385824408976694e-13,12.50326645928451,False
NPIPB3,0.30335332,1.0563994568492101e-16,4.462865145405173e-13,12.350386236056902,True
NPIPB5,0.30335332,1.0563994568492101e-16,4.462865145405173e-13,12.350386236056902,True
IER3,1.544256866666667,5.322356164443691e-16,1.873735487692401e-12,11.72729171779384,True
NPIPB4,0.2852542304347826,1.6156750403446924e-13,4.738186190029749e-10,9.324387877400984,True
IGKC,0.31881785999999995,1.7945125938663067e-13,4.738186190029749e-10,9.324387877400984,True
CCRL2,0.67495965,9.426540151283007e-13,2.2124089735061216e-09,8.655134588705724,True
NPIPB9,0.403314909090909,1.5856571597432356e-11,3.3493836185256365e-08,7.475035108098355,True
NPIPB6,0.34675405333333326,2.341034111462971e-11,4.4954239578574854e-08,7.347229344225389,True
PTX3,3.6408317,8.32e-11,1.4645279999999998e-07,6.834302320718984,True
TRIM15,0.8661107,1.1734422087993598e-10,1.906663059728375e-07,6.719726047504372,True
ICAM1,3.0272653,1.29e-10,1.9463335714285713e-07,6.710782726341072,True
IL6,4.0435207,3.67e-10,4.862414983022687e-07,6.313147979029094,True
AREG,1.1599245,3.6831245433112244e-10,4.862414983022687e-07,6.313147979029094,True
MT2A,0.8263967000000001,5.159353714861094e-10,6.410648736412405e-07,6.193098019094611,True
ABCB11,2.36021,1.06e-09,1.2439100000000001e-06,5.905211040800618,True
LRIG3,-0.6690994666666668,1.1777278855202908e-09,1.309323480307637e-06,5.882953043779998,True
LRRFIP1,0.42998195999999994,1.9213128893408025e-09,2.0291946080772887e-06,5.692676300349011,True
TNFAIP3,2.9952343,2.87e-09,2.88681e-06,5.5395817989620095,True
SLC20A1,2.1330827,4.63e-09,4.445431363636364e-06,5.352086090766336,True
FKBP5,0.1788411,5.370001800848646e-09,4.931762958231563e-06,5.306997805637941,False
EEPD1,1.066763,5.980851496474566e-09,5.263896923334677e-06,5.278692623585829,True
CCL20,4.0332563,7.22e-09,6.1003224e-06,5.214647212064481,True
IRF1,1.886919,9.81e-09,7.969870384615384e-06,5.0985487415529525,True
CXCL1,2.3791657,1.06e-08,8.292733333333334e-06,5.0813022998563,True
BHLHE40,1.606169,1.18e-08,8.901835714285714e-06,5.050520424998177,True
PDXDC2P,0.27259022352941176,2.4444646221063954e-08,1.780497455612186e-05,4.74945864260999,True
CXCL8,2.7605167,3.24e-08,2.2812840000000002e-05,4.641820645475133,True
DUSP6,1.736416,5.76e-08,3.8368437203625045e-05,4.416025889820819,True
LOC285847,0.45255165,5.812573926601342e-08,3.8368437203625045e-05,4.416025889820819,True
TBX3,1.6206843,8.63e-08,5.5239845454545454e-05,4.257747545124761,True
CLSPN,0.6034015666666667,9.596318724601482e-08,5.961854129992856e-05,4.224618654152797,True
IRAK2,1.4703983,1.11e-07,6.699008571428572e-05,4.1739894665257005,True
ZDHHC18,0.6102587,1.5934988591823802e-07,9.349854556252616e-05,4.02919514483959,True
PPP1R10,-0.509321,1.9629760061846315e-07,0.00011206470859091343,3.9505311338576496,True
PMAIP1,1.4368523,2.14e-07,0.00011895584210526315,3.924614224229702,True
TNFAIP2,1.785704,2.91e-07,0.00015198256097560974,3.8182062417036553,True
TP53BP2,1.461354,2.91e-07,0.00015198256097560974,3.8182062417036553,True
PPP1R3C,-1.285125,2.95e-07,0.00015198256097560974,3.8182062417036553,True
EREG,1.5327357,3.3e-07,0.00016433277550313965,3.7842758096593867,True
SNORD115-8,-0.24509295294117645,3.3453152235170214e-07,0.00016433277550313965,3.7842758096593867,True
SLC7A11,1.5107067,3.5e-07,0.00016802386363636365,3.774629033097994,True
DHRS9,1.717397,4.12e-07,0.0001928621739130435,3.714752942245756,True
NR0B2,1.4880997,4.2e-07,0.0001928621739130435,3.714752942245756,True
SNORD115-14,-0.26619442352941175,4.336741060227088e-07,0.00019490421577697187,3.710178766993848,True
CXCL10,1.3460387,4.61e-07,0.0002028688125,3.6927847129480216,True
TMPRSS2,1.2736833,4.92e-07,0.00020792282064675496,3.682097841899637,True
SOCS3,1.408552,5.06e-07,0.00020792282064675496,3.682097841899637,True
SNORD115-4,-0.24744445882352942,5.29942680394662e-07,0.00020792282064675496,3.682097841899637,True
SNORD115-16,-0.2648829705882353,5.315453446444524e-07,0.00020792282064675496,3.682097841899637,True
SNORD115-13,-0.2648829705882353,5.315453446444524e-07,0.00020792282064675496,3.682097841899637,True
SNORD115-1,-0.2648829705882353,5.315453446444524e-07,0.00020792282064675496,3.682097841899637,True
SNORD115-10,-0.24662342352941177,5.537163470997965e-07,0.00020945022146561063,3.6789191760941593,True
SNORD115-24,-0.2651033058823529,5.552815604826111e-07,0.00020945022146561063,3.6789191760941593,True
DUSP5,1.6102653,5.88e-07,0.00021529518336290082,3.666965686211408,True
