GENE_SYMBOL,logFC,P.Value
CYP3A5,1.086,4.4276057057068766e-08
CYP2B6,2.255,5.68388453751824e-08
CYP3A7,1.3920000000000001,7.91560571086105e-08
MAFB,-0.5640000000000001,8.811664661223837e-07
CYP3A4,3.92,3.31e-06
KCNMA1,1.2995,3.475117491024604e-06
LOC100131726,2.21,5.13e-06
NPPB,0.7295,7.859460414141707e-06
GK,-0.59275,8.409973400892129e-06
CYP4A11,-0.8500000000000001,8.572713213816256e-06
CYP2A7,2.72,9.75e-06
CRIP1,-0.5146666666666667,1.3869486847083539e-05
PRODH2,0.898,1.416e-05
C8orf84,-0.94,1.445e-05
AQP7P1,-0.4183333333333333,1.482494038346127e-05
VSIG10L,0.7475,1.5385326924167384e-05
LOC643037,-1.02,2.23e-05
CYP2A13,2.48,2.491e-05
CYB5A,0.865,2.811356239376318e-05
RFPL4A,-0.6165,3.0128727438706304e-05
THRSP,1.54,3.61e-05
CD14,0.971,3.879e-05
AZGP1,0.8,4.293e-05
SEC14L4,0.389,4.866909386532825e-05
CAPN13,0.6799999999999999,5.214874896102602e-05
FGF10,0.94,5.562e-05
ALDOB,-0.6255,5.903919864602335e-05
GPX2,0.817,7.01e-05
MBL2,1.04,7.067e-05
KMO,-0.438,8.099674464671657e-05
OR2L8,1.24,9.019e-05
TLE6,0.5285,9.390581409955142e-05
GRIA3,-0.4076666666666667,0.00011035598473213581
ALAS1,1.5,0.00011417
ALPI,1.6,0.00011759
DIO1,1.47,0.00014307
UGT1A6,0.359,0.00014557825128883406
CYP4F3,1.05,0.00015395
NR6A1,0.77,0.000157657156377708
G6PC,-0.987,0.00017302
LRRC55,1.17,0.00018758
NEFL,0.61,0.00018824
CYP2C8,2.0,0.00019607
IGF1,-0.3175,0.00021668181773954403
CYP1B1-AS1,0.953,0.00023444
PKLR,-0.598,0.00023709
POC1A,0.6,0.00025843
PRAMEF10,0.849,0.00025848
TXNIP,-0.66,0.00026782
MPV17L,0.635,0.00029362
OSTBETA,1.45,0.00031032
ATCAY,0.82155,0.00031520298578868484
LDLRAD1,1.3849999999999998,0.00032336514319583756
HRASLS2,-0.624,0.00034644
GPR64,-0.3395,0.0003703980351317767
ANK3,-0.23719600000000002,0.0003862878148353297
HTR3C,-1.23,0.00038804
LINC00238,-0.388,0.00040016151619631183
FGA,-0.25266666666666665,0.00043388580371347306
CYP2C9,0.932,0.00044392
CNTLN,0.50475,0.0004510830091335005
C1orf111,-0.647,0.00048062
SGK2,0.509,0.00052353
SLC25A47,-0.886,0.00053293
SERPINE2,0.545,0.00056223
C3orf25,-0.534,0.00058333
CPS1,-0.548,0.00062097
NEFM,1.63,0.00062358
ID1,-0.693,0.00063921
BTBD11,0.749,0.00066749
CYP4A22,-0.779,0.00068597
EFS,-0.931,0.00073515
C6,-0.909,0.00074129
PCK1,-1.27,0.00074487
TXNRD3NB,0.702,0.00075083
LOC100507055,-0.663,0.00079084
EPHX1,0.881,0.00080302
CYP2C19,0.963,0.00080616
ATOH8,-0.32796000000000003,0.0008180685114632052
CYP3A43,1.14,0.00084565
ENTPD8,-0.679,0.00084986
MARCKSL1,0.478,0.00086355
AQP3,-0.3215,0.0008870672463877167
SERPINF2,-0.641,0.00091783
NR1I3,-0.554,0.0009381022647735693
MOCS1,0.268,0.0009546350105692387
VNN2,-0.488,0.00096324
TBX15,-0.55,0.0009751484859390199
TLR4,0.385,0.0009854894234456206
TRIM31,0.962,0.00102504
CBR3,0.568,0.00102711
AGXT2L1,1.05,0.00103926
LOC284669,-0.606,0.00109849
ZNF280B,-0.713,0.00110392
CXCR7,0.426,0.00110572
HAMP,-1.35,0.00112667
SULT1C3,-0.977,0.00113815
BCAS1,0.501,0.001140269132053075
CD84,-1.3215,0.001196692497536233
LOC100130954,0.899,0.00121243
IFIT2,-0.249,0.0012221771761060408
CCL14,0.353,0.00123495
INHBE,-0.543,0.00125198
VEPH1,0.75,0.00131322
FGD5,-0.367,0.00131564
KLKB1,-0.506,0.0013198
SERPINA4,-0.443,0.00133
VLDLR,0.5985,0.0013480119547361327
SLC17A1,-0.462,0.00142445
VNN1,-0.467,0.00146505
HMGCS2,-0.697,0.00146932
RNF186,0.418,0.00152645
TMEM97,0.458,0.00153993
FOXN4,0.858,0.00155287
NPM2,0.253,0.0015917008906691148
CILP,0.475,0.00159557
CDH23,-0.5436666666666666,0.0016315767508660313
TLR1,0.572,0.00167365
LELP1,0.847,0.00169434
LOC644662,-0.451,0.00177503
MGC39372,1.24,0.00179041
CAPN12,-0.425,0.00180887
RAI14,0.431,0.00185966
GPRC5B,0.646,0.00191647
ABCC2,0.46299999999999997,0.0019259964627330619
OPTC,0.903,0.00206865
UPP1,0.554,0.0020797626476027026
ADH1C,-0.893,0.00212
F13B,0.667,0.0021637
LMCD1,0.542,0.00216899
LOC283713,-1.3,0.00217132
TESC,-0.474,0.00227109
TMPRSS2,0.296,0.00227835
AGPHD1,0.27449999999999997,0.0022994819598439616
CFL1,0.255,0.0023049705859139466
C3orf20,1.17,0.00234736
LECT2,-0.868,0.00237428
CLMN,0.2885,0.002385517186808759
CFH,-0.256,0.002413572928284669
STEAP1,-0.21200000000000002,0.002422489536612956
NLRC3,0.33165,0.0024582101192762527
DCX,-0.5315,0.0025571604809497676
GPRC5C,-0.263,0.002588099424913168
ZNF483,1.18,0.00260537
TSKU,0.557,0.00262673
CYP8B1,-0.603,0.00269504
C15orf48,0.341,0.00272258
ACSM5,-0.3255,0.0027389065412501364
DPP4,0.305,0.00275025
TFCP2L1,0.558,0.00279294
TMEM38A,0.278,0.00279336
C1orf168,-0.45,0.00284031
C11orf36,0.929,0.00285206
HCP5,0.448,0.00289091
ABAT,-0.03999999999999998,0.0029778163715965806
MAP3K14,0.293,0.00299475
NRG1,-0.2648,0.0029969020293945732
CYP2E1,-0.678,0.00301466
LIMS2,0.28200000000000003,0.0030456687643462335
LGALS9C,0.499,0.00305844
C5orf27,-0.314,0.0031235
ABHD4,0.381,0.0031463
TBC1D1,0.16363333333333333,0.003192221769600618
COL4A3,-0.747,0.0032016
MTMR11,-0.435,0.00321171
FLJ46010,-1.1,0.00332205
MAP3K5,-0.2985,0.0033377946958161675
PLIN2,-0.2545,0.0033458746506969807
ADH1A,-0.954,0.00334654
NAT8,-0.304,0.00354807
AP1M2,0.347,0.00355099
GPR82,1.22,0.00363607
LOC80054,-0.338,0.00381476
HSD11B1,-0.302,0.00386487
LEKR1,-0.35150000000000003,0.003918435213714526
LOC100131510,-0.854,0.00393237
F11,-0.3105,0.004014926003024537
ACMSD,-0.303,0.00404822
TMEM120A,-0.278,0.0040737
ADRB2,0.358,0.00407856
FN1,0.454,0.00409379
OR8B3,-0.51,0.00418095
LOC100130172,0.786,0.00421142
BTBD16,-0.464,0.0043177
SLC34A1,0.389,0.00445438
ANXA13,-0.636,0.00447538
C14orf182,-0.776,0.004491920299132542
CHPF,0.012499999999999997,0.004499745650690679
PGD,0.571,0.00463512
RPRML,-0.6795,0.004803272064990444
CLIP1,0.267,0.0048152
MAP2,0.2535,0.0048921792252809996
PTN,0.752,0.00494807
NTN4,-0.271,0.00505962
SERPINB1,0.415,0.00506458
LEPR,-0.2238,0.005067009321360817
SEPT4,-0.423,0.00506818
C2orf82,-0.287,0.00509865
S1PR4,0.367,0.00511547
SERHL2,-0.11300000000000002,0.005117051452609885
XLOC_006252,-0.2235,0.005121372585757029
LOC254057,-0.45,0.00512192
ADH1B,-1.15,0.00517705
PNPLA5,-0.32,0.005189
DHRS3,0.345,0.00524207
MGC50722,-0.892,0.00526557
CRYAA,0.46543333333333337,0.005354318542138629
MLIP,-0.413,0.00550058
OASL,-0.415,0.00550063
C9orf140,0.461,0.00550167
PLCE1,-0.23249999999999998,0.005603016650549355
SLC6A6,0.479,0.005666612641370639
TMEM82,-0.326,0.00575253
CSF1,0.3786666666666667,0.0057554507026936425
CCDC18,-0.643,0.00581456033093569
ADRA2C,0.266,0.00581475
FOXO1,0.301,0.00588378
TNFAIP8,-0.27549999999999997,0.00593346657186317
SLITRK3,-1.08,0.00595263
HSD17B2,0.242,0.00598241
PHKA1,0.4105,0.006015932576287453
AASS,-0.298,0.00607751
SLC17A6,-0.781,0.00611161
TUBA3D,-0.309,0.00615288
ZNF142,0.308,0.00617027
PDE5A,0.387,0.00619994
FBP1,-0.313,0.00630247
HPVC1,-0.974,0.00630953
CALML4,-0.29841999999999996,0.006310111563667247
FAM83E,0.377,0.006363
PCDH20,-0.917,0.00643801
C9orf103,-0.36,0.00645368
PGM2,0.331,0.00652968
SLC30A10,-0.404,0.006547
SPINK5,-0.317,0.006578187039153515
TPCN1,0.271,0.006688677130511541
XLOC_013837,-0.19799999999999998,0.006693940040523753
HTRA3,0.5002,0.006698058869291214
TMEM204,0.355,0.00669878
CYP4F2,0.20649999999999996,0.006702581368642279
FAM70B,0.5055,0.006704789269441759
ISCA1,0.17533333333333334,0.006741091379842463
SFTPD,-0.312,0.00677801
DNAH12,0.26528399999999996,0.0068006834830415626
ASAP2,0.473,0.00680608
ARRB2,0.302,0.00685758
GADD45G,0.2495,0.006870044588156796
CLCNKB,0.438,0.00699478
CYP4F8,0.454,0.00700605
ENTPD2,-0.518,0.00701584
BIRC5,0.386,0.00705375
LINC00085,-0.923,0.00706154
PCDHGB1,0.10399999999999998,0.007123302848573903
NUDT16,-0.249,0.00713602
HIST1H2AC,-0.19299999999999998,0.007168514927122948
GXYLT2,1.12,0.00720523
RFESD,-0.295,0.00722729
SYCE3,-0.404,0.0072522689318048564
GIMAP6,0.591,0.00727598
SPINK13,-0.632,0.00730665
SDS,-0.436,0.00740948
UBAP1L,0.314,0.00742894
CBLN3,-0.406,0.00743743
SIN3A,0.329,0.00745224
NAT8B,-0.21000000000000002,0.007532210771971201
C1QL3,-0.337,0.00762242
PRSS23,-0.24,0.00768343
SLC2A2,-0.255,0.00769424
CCDC62,0.509,0.00775852
RAB27B,0.289,0.00784852
ODZ2,-0.609,0.007848810864491726
SERPINB9,0.872,0.00785205
TREM1,-0.016499999999999987,0.007962799587176838
S100A14,-0.243,0.00798336
CYP4X1,-0.963,0.00802346
PDE4D,-0.364615,0.008034745337359341
C1orf116,-0.379,0.00805047
KRT20,-0.893,0.00810558
CHIA,0.489,0.00822744
COBLL1,-0.237,0.00823151
MYO1A,-0.387,0.00832214
PLG,-0.488,0.00832709
STAP2,0.209,0.00846479
UGT1A8,0.328,0.00852965
FGF13,-0.274,0.00853165
CCL15,0.328,0.0085369
SLC3A1,-0.8019999999999999,0.008578984542124087
FAM48B2,0.859,0.00860795
APLN,0.567,0.00863304
GAS2L2,0.9315,0.008644537228685497
CORO7,0.244,0.00869492
NKPD1,0.61,0.00879514
FGB,-0.345,0.00879795
FAM161A,-0.275,0.008944216788971613
ZNF300P1,0.7,0.0089998
PAGE4,-0.426,0.00900882
MGC14436,-0.289,0.00901283
C19orf80,0.588,0.00904748
TMEM105,-0.388,0.00910771
CRYAB,-0.384,0.00912777
DEPDC4,-0.392,0.00914056
VIL1,0.507,0.00914497
C19orf59,0.352,0.00914998
TMEM119,0.499,0.00925336
SSPO,-1.31,0.0092807
ACCSL,1.18,0.00935663
MYADM,0.3275,0.009457537520859201
ZNF711,-0.33075,0.009467808236719976
SOX6,-0.354,0.0094706
PLSCR4,-0.269,0.00947062
FLJ46906,-0.255,0.00949608
FNDC5,0.721,0.00951222
APOA1BP,-0.008500000000000008,0.009628522053315311
B4GALNT1,0.23,0.00963111
SLC25A23,0.1955,0.009662919489436109
GSTA2,0.361,0.00982677
KLHL2,-0.237,0.00987492
NFASC,0.543,0.009886831740295721
KANK1,-0.16033333333333333,0.009902027240164864
ATP6V1B1,0.834,0.00993843
CDHR5,-0.29900000000000004,0.009939476905433531
F9,-0.317,0.01001665
ASCL3,0.893,0.01008778
HNF1A-AS1,-0.287,0.01015689
FLJ42102,-1.16,0.01018051
NIPSNAP3A,-0.247,0.01019647
ZNRF2,-0.414,0.01019734
LOC285626,1.5,0.01025077
CIDEC,-0.2205,0.010298919701536827
ABCA6,-0.443,0.01030769
BCL3,0.26,0.01030863
ADH4,-0.334,0.0103119
ASPG,0.513,0.0103769
CARD11,-0.2435,0.010475284495268763
C20orf54,-1.17,0.01048715
OR8D1,-1.47,0.01049976
SNAR-C4,1.08,0.01050931
BCL7A,0.423,0.0105418
PLA2G4D,-0.549,0.01072351
CPN1,-0.35,0.01075038
BAALC,-0.10060499999999997,0.01076006355588674
GUCA2B,-0.6,0.01097032
KLRB1,0.747,0.01102583
XLOC_012727,1.73,0.01123748
CCL16,0.37349999999999994,0.011407653983649657
SLC27A2,0.369,0.01144452
SLC30A3,0.42,0.01149029
SMPDL3A,0.286,0.01163627
LOC728819,0.752,0.01165457
PARK2,0.05250000000000002,0.011742612202915859
LOC727869,-0.375,0.01182953
KIF20A,0.548,0.01186804
SLC38A11,-0.739,0.01216276
ABHD1,-0.322,0.01219349
TRIM4,0.21799999999999997,0.0122435108717147
HP,-0.277,0.01247246
C8orf83,-0.34750000000000003,0.012584123766165845
HRSP12,-0.307,0.01266226
CHMP4C,-0.212,0.01267513
NR2F2,-0.214,0.01269698
FAM134B,-0.255,0.01274707
CA2,0.399,0.01278216
TIAM2,0.36750000000000005,0.012805602507225285
GPIHBP1,0.421,0.0129355
RORC,-0.348,0.01298179
PARP9,0.214,0.01301342
MAK,1.02,0.01311292
LOC100506816,-1.11,0.01312585
ACOX2,-0.413,0.01314635
SLC22A9,-0.368,0.01316327
TRPM7,0.227,0.01320275
CABYR,0.306,0.013259290295395399
TTC35,-0.199,0.01332563
CIDEB,-0.288,0.01335898
CYP4F12,0.349,0.01337961
BMP15,0.344,0.01339764
CXCL2,-0.1945,0.01343248245945953
SLC16A5,0.291,0.01349285
CACNG8,0.71,0.01354522
ANG,-0.301,0.01363517
GREM1,0.8744999999999999,0.013701313401086494
