GENE_SYMBOL,logFC,P.Value
CYP2B6,1.139,1.6974328610286384e-08
CYP3A4,3.36,9.26e-08
CYP3A7,1.1915,1.0741897855997164e-06
CYB5A,0.7175,4.106366918999793e-06
GRIA3,-0.49166666666666664,1.0960429408876555e-05
CYP3A5,0.9,1.3069252107378935e-05
LILRA3,-1.23,3.3e-05
CYP2A13,1.39,3.55e-05
CYP2A7,1.59,4.21e-05
CH25H,-0.96,4.53e-05
BMP10,0.916,4.83e-05
CAPN13,0.5515,7.067884862145982e-05
ST5,0.6362,8.789361886059811e-05
FOXP2,0.6083333333333333,0.00011453578636552183
SLC22A12,0.666,0.000116
NOXRED1,1.23,0.000121
STYK1,-0.99,0.000142
UGT1A6,0.3355,0.00014944405169358983
LAMA3,0.496,0.00016535740659432148
MRAP,-0.436,0.0003631927889652652
SLC3A1,-0.8592500000000001,0.0004628410834374531
GK,-0.3405,0.0005049327230646749
HOXC4,-0.608,0.000536
VLDLR,0.441,0.000581585316874614
THRSP,1.1,0.000588
LOC284581,-0.467,0.000602
SLC35F1,0.8414999999999999,0.0006066958790744852
C1orf111,-0.722,0.000613
CD14,0.597,0.000619
EREG,-1.16,0.000768
NAT8B,-0.379,0.0009344007840695817
CYP2C8,1.44,0.000941
CCL20,-0.481,0.000943
AZFP,-0.859,0.000982
SYTL5,-0.694,0.000996
XLOC_002886,1.08,0.00105
AZGP1,0.601,0.00108
MOXD1,-0.442,0.00113
C5orf49,-1.37,0.00118
IFT80,-0.565,0.0012
NAT8,-0.412,0.00122
FAM55C,0.627,0.00128
CYP3A43,1.04,0.00129
PRR16,-1.31,0.00142
PRO2012,-0.853,0.00143
CYP4F3,0.656,0.00149
XLOC_006253,-0.3165,0.0014936367117181148
XLOC_004323,0.18800000000000003,0.0015289453135104015
CYP2C9,0.658,0.00155
KRT23,-0.4555,0.0015523341096289902
ECEL1P2,-0.734,0.00166
LYG2,0.9595,0.0016959944163406663
KCNB2,0.47,0.0017
IGF1,-0.2955,0.0017100540069157953
EMR2,-1.07,0.00179
RGS2,-0.435,0.00187
TMEM97,0.554,0.00187
GPX2,0.469,0.0019
FAM150B,0.3255,0.0019285427081341768
LOC440131,0.11733333333333333,0.001958879805517734
DUX3,-0.998,0.00209
HOXD12,-0.539,0.00214
KDR,-0.418,0.00216
DCX,-0.4645,0.0022077979273310297
CIDEC,-0.359,0.0022297888793575337
HSD17B7,0.3128,0.0022331709706730125
CEND1,-0.605,0.00224
ANKRD29,0.495,0.00225
XLOC_006252,-0.3355,0.0023239768705338214
AGXT2L1,0.657,0.00233
TRIM4,0.35350000000000004,0.002335617467574935
TIMD4,-0.7825,0.002382961554763594
LOC100133130,-0.8915,0.0023919358525269063
MAFB,-0.28,0.002421388424037337
HADH,0.419,0.00243
RFPL4A,-0.352,0.0024859020807342577
LIN28B,-0.992,0.00256
ARL14,-0.641,0.00262
SSPO,-1.45,0.00264
MUC13,-0.648,0.00265
SPP1,-0.536,0.00266
CLDN2,-0.627,0.00269
EPHX1,0.652,0.00287
C12orf59,1.11,0.00293
ZNF280B,-0.691,0.00297
TOMM40,-0.22149999999999997,0.003018342612202462
LOC147004,1.06,0.00306
ABCB11,-0.536,0.00313
UCA1,-0.357,0.00327
PRSS47,-0.37,0.00335
C1QL1,-0.559,0.00336
ALAS1,0.843,0.00343
HIST1H1T,-1.25,0.00346
RAET1E,-0.5035000000000001,0.003547325649445103
MOB3B,-0.3913333333333333,0.0037290314474904785
PAGE2,-0.515,0.00377
SLC26A4,-0.422,0.00378
F11,-0.297,0.0038162095859013635
HTR2A,-0.611,0.00382
OR51T1,-0.967,0.00386
AREG,-0.4625,0.003888672744153255
FGF6,0.443,0.00394
ESR2,0.6605,0.0041357983091888425
KRT83,0.06849999999999998,0.004240722197916899
HTRA3,0.3115,0.004645514368914318
C16orf92,1.33,0.00466
ENTPD4,0.2825,0.004696834061326232
DIO1,0.781,0.0047
NDP,-1.25,0.00497
C10orf27,-0.41150000000000003,0.005002372362350996
CLEC3B,-0.505,0.00508
S100A14,-0.425,0.00509
OSR2,0.425,0.00514
VCAM1,-1.1,0.00543
CRIP1,-0.35633333333333334,0.005478021423789015
TMSB15B,-1.1,0.0055
KIAA1751,-0.4811175,0.005781548527434644
UBE2E4P,-0.312,0.0058
CAPN6,-0.557,0.00584
LOC100505719,0.331,0.00584
CCND2,0.445,0.00604
ANKDD1B,0.691,0.0061
SLC6A13,-0.447,0.00618
GPT,-0.4,0.00618
VIL1,0.363,0.00619
TFCP2L1,0.744,0.00619
SLC22A11,-0.016499999999999987,0.006198206994643053
C11orf86,-0.46799999999999997,0.0063532605943423
MYSM1,-0.265,0.00653
LOC400548,-1.27,0.00658
PCDHB11,0.509,0.00664
FAM151A,0.438,0.006642754085779574
LPXN,-0.517,0.00667
OPTC,0.603,0.00675
PDCD7,0.318,0.006755899001828652
KRTAP3-2,-0.901,0.00676
EMID1,-0.718,0.00695
SV2B,-0.633,0.007
LOC100131726,1.03,0.00707
AURKA,-0.296,0.00712
HRASLS2,-0.429,0.00712
HDGFRP3,-0.369,0.00717
DYDC1,0.839,0.00736
BATF,-0.512,0.00741
SLIT2,-0.566,0.00747
HSD11B1,-0.318,0.00758
LOC646999,-0.899,0.00761
LOC100131066,-0.988,0.00761
ERG,-0.482,0.00768
LOC645586,-1.2,0.00786
APOBEC2,-0.37,0.00801
C9orf117,-0.1185,0.008028144235298308
ATF7,1.07,0.00808
ZNF711,-0.34145000000000003,0.008188495757107346
C17orf99,-1.66,0.00822
XLOC_006922,-0.27649999999999997,0.008232704531575576
TESC,-0.349,0.00824
TDO2,-0.374,0.00838
PRODH2,0.352,0.0084
ISM1,0.284,0.00843
ZNF806,-1.23,0.00847
FAM87B,-0.508,0.008569636007781484
TMEM150C,0.356,0.0086
FLJ41423,-0.744,0.00862
DNAJC18,-0.576,0.00869
KRT26,-0.495,0.0087
NPM2,0.264,0.008750069132862052
BRD3,0.38475000000000004,0.00877242281374349
LOC338694,-0.728,0.00884
NR4A3,-0.08949999999999998,0.008844253342510542
ZNF318,0.3335,0.008959445613201552
SDCBP2,-0.275,0.00899
PTGFR,-0.22366666666666668,0.009177296854611721
MIB2,0.6769999999999999,0.00922510476892989
KCNMA1,0.34575,0.009258933395004417
LOC643037,-0.519,0.00938
STOX2,0.245,0.00938
GGTLC2,-0.21550000000000002,0.0095522621109748
CYP2C19,0.529,0.00956
MST1R,-0.445,0.00968
C11orf41,-0.09513333333333335,0.00977992257857549
PCDH20,-0.898,0.00982
INO80C,-0.3,0.00991
SUSD2,-0.35435,0.009925184240670671
KMO,-0.3065,0.010027191511185772
LRRC31,0.4065,0.010145310907084025
INHBE,-0.51,0.0103
ALDOB,-0.426,0.010332275678654345
TMEM239,0.702,0.0105
LRRN4,1.35,0.0105
CPS1,-0.497,0.0105
PACSIN3,-0.275,0.0106
CDKN1C,-0.312,0.0107
HOXA7,-0.63,0.0108
TRPM3,-0.0451333333333333,0.010847537509820865
GGTLC1,-0.261,0.0109
KYNU,-0.343,0.010953355914385943
AGPHD1,0.22399999999999998,0.011067847505212834
UBOX5,-0.327,0.0113
CKAP2L,-0.375,0.0113
SSC5D,-0.31129999999999997,0.011345051484395808
C2orf62,0.71,0.0114
MAP2,0.280575,0.011483072276771741
OLIG3,-0.671,0.0115
XLOC_014394,-0.27499999999999997,0.011504378373284113
GPR61,-0.444,0.0116
HPVC1,-0.877,0.0116
SLC9A9,-0.843,0.0116
EPS15,-0.20350000000000001,0.011699238591299255
LRRC37A2,0.362,0.0117
FAM86B2,-0.24166666666666667,0.011729089362812235
MS4A6A,-0.49310000000000004,0.011788032855571274
C14orf180,-0.47,0.012
ZNF423,-1.05,0.012
ANKRD35,0.33,0.012
LAMP3,-0.275,0.012
TNC,-0.46,0.0121
C14orf128,-0.27,0.012142665171574685
EMP1,-0.398,0.0122
OASL,-0.233,0.0123
LTN1,0.46149999999999997,0.012311411419231012
CDH17,-0.938,0.0124
SPON1,0.887,0.0125
SEC14L4,0.20500000000000002,0.012561264733749062
CDH13,-1.11,0.0126
C1orf116,-0.42,0.0127
KRT19P2,-0.327,0.0128
MORC4,-0.322,0.0128
ZNF204P,0.979,0.0128
ABCA9,-0.472,0.0129
GPRC5C,-0.20550000000000002,0.012994647178880693
FAM43B,0.675,0.013
SLC22A13,-0.634,0.0131
CEP55,0.35100000000000003,0.013191741691571323
XLOC_011592,-0.5954999999999999,0.013272006145958635
SLC38A5,-0.468,0.0133
LOC100130938,-0.416,0.0135
KCND2,-0.482,0.0135
PLA2G4A,-0.559,0.0135
ST6GALNAC3,-0.599,0.013501572921305232
LOC388906,-0.297,0.0137
SULT2A1,0.541,0.0137
LOC100507410,-0.328,0.0137
PDLIM3,0.3265,0.013889441526088097
TSKU,0.362,0.014
TNF,-0.556,0.014
CUX2,0.1966,0.01402144977295952
TCHH,-0.4275,0.0140254483073432
SLC24A4,-0.33949999999999997,0.014037942363411462
CXorf1,0.5076,0.014047936121481738
BICD1,0.344,0.0141
FLJ33996,0.276,0.0141
PLIN2,-0.21500000000000002,0.014147801258992464
PPP2R2C,0.439,0.0143
CBR3,0.304,0.0143
ELTD1,-0.32899999999999996,0.014353982762314334
FOXL1,0.384,0.0144
ALDH16A1,-0.279,0.0144
NOSTRIN,-0.302,0.0144
PRAMEF13,-1.125,0.01459459671673691
SCGN,-0.299,0.0147
RNF39,-0.283,0.0148
