GENE_SYMBOL,logFC,P.Value
ABCA1,2.73,3.729430663090391e-09
GRIA3,-0.9396666666666667,1.1026385862305824e-08
SLC3A1,-1.2175,1.2671182175308558e-08
CYP3A5,1.255,1.914534524528582e-08
KCNMA1,1.4137499999999998,2.4950605307290688e-08
LPIN1,0.8966666666666666,2.6583036320534154e-08
CAPN13,1.23,7.081783561741354e-08
GK,-0.8074999999999999,9.838624928259708e-08
RFPL4A,-1.125,1.250911612048917e-07
ACACA,0.724,2.67721413237934e-07
CYP2B6,2.145,5.605666574814413e-07
BCAS1,1.049,6.428724011897228e-07
UGT1A6,0.6475,8.340283752919888e-07
MPV17L,2.15,8.78e-07
CYP4A11,-1.9,1.0244437239312003e-06
LOC100132273,0.917,1.316192658863711e-06
NRP1,-0.676,1.4225948813355573e-06
CYP3A7,1.25,1.4383802464000693e-06
PTGFR,-0.6973333333333334,1.4922743977756004e-06
CIDEC,-0.7105,1.6048836478945498e-06
VSIG10L,0.87,1.9582600137309514e-06
TLR4,1.006,2.073220504693094e-06
CYB5A,0.9365,2.242704254529676e-06
THRSP,4.7,2.36e-06
AQP7P1,-0.7123333333333334,2.60937566883503e-06
ABCG1,5.15,2.7e-06
NEFL,1.43,2.71e-06
RCL1,-0.45399999999999996,4.406956590096795e-06
SEC14L4,0.54,4.561541183154183e-06
ALPI,1.99,4.79e-06
HADH,1.33,4.99e-06
FASN,2.23,5.15e-06
LAMA4,-0.490875,5.255025464560779e-06
KMO,-0.642,5.3905138242926775e-06
MID1IP1,1.81,5.76e-06
MRAP,-1.3250000000000002,6.0218166832567875e-06
ABCD1,0.5823333333333333,6.179439336850146e-06
NR6A1,1.0899999999999999,7.268452658493814e-06
AGXT2L1,2.45,7.29e-06
DIO1,2.34,9.96e-06
CD14,1.73,1.02e-05
FADS2,0.807,1.0209780152802555e-05
LAMA3,0.6890000000000001,1.3239496203491905e-05
APOC1,1.49,1.33e-05
HSD11B1,-0.96,1.53e-05
FGF1,-0.316,1.756965272194387e-05
LDLRAD1,1.65,1.7800731975243905e-05
CYP2S1,1.625,1.81378135403672e-05
BTBD11,1.51,1.83e-05
XLOC_013837,-0.479,1.904296170385899e-05
SREBF1,1.1438000000000001,2.04871699162621e-05
PDE4D,-0.596025,2.0719923856240867e-05
CSGALNACT1,-0.771,2.1574030312383026e-05
FASLG,-1.44,2.18e-05
VLDLR,0.802,2.221142916240285e-05
C8orf84,-1.15,2.44e-05
LINC00263,2.28,2.51e-05
CYP3A4,3.28,2.59e-05
ADRA2C,0.817,2.74e-05
MYLIP,2.32,2.91e-05
ALAS1,1.69,2.97e-05
AQP3,-0.6145,3.14576335713598e-05
PRODH2,0.888,3.17e-05
CXCL2,-0.717,3.1932461224997294e-05
F11,-0.785,3.412325576056693e-05
FOXS1,1.02,3.46e-05
LOC100132005,-0.944,3.5e-05
XLOC_006252,-0.46599999999999997,3.516835249747143e-05
PLCE1,-0.483,3.53654662158637e-05
CYP4F3,1.62,4.3e-05
CLDN2,-1.08,4.32e-05
PAMR1,-0.821,4.37e-05
TPCN1,0.5640000000000001,4.91730365928989e-05
C1QL1,-1.36,5.41e-05
C1orf111,-1.57,5.69e-05
LPCAT3,1.0,6.14e-05
DLG2,-0.6942106,6.207654781517385e-05
SUSD2,-1.0434999999999999,6.463756135493889e-05
HLA-A,0.34700000000000003,6.694837962662045e-05
C1orf226,-0.751,6.943307496533102e-05
XLOC_014394,-0.39566666666666667,7.100868738859057e-05
MAFB,-0.6839999999999999,7.315005024720492e-05
CAPN6,-2.12,8.35e-05
TTC39C,0.642,8.565277429292456e-05
FADS1,1.01,8.72e-05
GABBR2,1.43,9.03e-05
ALDH3A1,-0.541,9.050967026427922e-05
LOC730102,-0.492,9.5993581907993e-05
LEPR,-0.522125,9.660541471013376e-05
INSIG1,0.973,9.73e-05
ASPM,-0.6695,9.794325876559166e-05
MYO16,-0.641,9.810532434820664e-05
TBX15,-0.957,9.951294186799701e-05
PHF17,-0.4475,0.0001023015844329782
ALDOB,-1.5550000000000002,0.00010460681744848518
POC1A,0.774,0.000107
XLOC_014105,-0.32866666666666666,0.00010721618551965656
SHISA9,0.9934999999999999,0.00011108384561286449
TLE6,0.7075,0.00012193861012497665
OSTBETA,2.38,0.000123
SGK2,0.829,0.000124
TLR1,1.07,0.000128
EREG,-1.27,0.00013
RERGL,-1.44,0.000137
SMCR6,1.23,0.000138
SCD,1.14,0.000141
PEG10,0.906,0.000142
SNAI2,-0.783,0.000144
BIRC5,-0.967,0.000152
SPINK13,-1.81,0.000156
CNTLN,0.63975,0.00015736432692414266
VIL1,0.794,0.000158
LOC644662,-0.803,0.000163
NEFM,2.11,0.000182
LOC170425,-0.985,0.000183
SERPINE2,1.71,0.000184
SLC17A2,-1.48,0.0001848679832976089
CITED2,-0.4835,0.00018702227749453978
TSKU,0.865,0.000189
TMEM135,1.4064999999999999,0.00020069318238802872
NPR3,-1.12,0.00020108359206997612
MAP2,0.22100000000000003,0.00020109898696610585
AHSP,-0.698,0.000206
MBL2,1.76,0.00021
PLCXD1,0.5935,0.00021148185939026253
FGD5,-0.689,0.000217
GPX2,1.15,0.00022
GPR64,-0.47150000000000003,0.00022288536102144254
HIST1H2AC,-0.288,0.0002332640029455132
CDH23,-0.6073333333333334,0.00024275043127758116
CEND1,-1.04,0.00026
TCEA2,0.40549999999999997,0.0002688593070686628
ACSL1,0.957,0.00027
DEFB132,-2.3,0.000275
CYP4F12,0.735,0.000275
SERPINB1,0.544,0.000277
ELOVL6,0.7589999999999999,0.00027746870109465825
PFKFB1,0.72,0.00028
MARC1,-0.426,0.00028752848882530955
EGR4,0.987,0.000289
MGC4294,0.92,0.000292
STK39,1.71,0.000307
ZNF503,-0.508,0.00030775671999205975
TRIM31,1.29,0.000318
PKLR,-1.42,0.000324
IGF1,-0.44,0.0003260863054463232
SLC25A47,-1.67,0.000327
HSPB2,-0.719,0.000334
EFS,-0.985,0.000335
MME,-0.33099999999999996,0.0003371572909912778
GTF2IRD2B,-0.9375,0.0003379272865585476
CBR3,0.789,0.00034
CYP21A2,0.575,0.0003416669781878356
KCNJ16,-1.18,0.000344
CASC1,0.182,0.00034605156563394354
RPS6KA2,-0.4566666666666666,0.00035630420799131796
MORC4,-0.569,0.000362
SNX10,-0.34299999999999997,0.00037235156765279953
BMP10,0.927,0.000377
TESC,-1.1,0.000382
GPT,-0.715,0.000384
ELL2,-0.742,0.000388
ZNF415,-0.551,0.000389
HMGCS2,-1.37,0.000399
CLIP1,0.544,0.000401
NT5C3,-0.314,0.0004056120691009961
GPAM,0.476,0.0004225539334934679
CTGF,-0.654,0.000424
DCX,-1.3605,0.00043051662159150693
PALMD,-0.79,0.000439
KRT83,-0.7304999999999999,0.0004449599258384159
LDLR,0.761,0.000445
STEAP1,-0.309,0.00044658395792049614
CYP4F2,0.798,0.00045154119515076595
RNF145,0.88,0.0004758883009325335
DPP4,0.493,0.00048
BHLHE40,1.06,0.000481
TFCP2L1,0.882,0.000494
LOC647946,-0.963,0.000495
KANK4,0.5105,0.0004987758869564892
SLC38A2,-0.3365,0.000499299928676499
ME1,0.581,0.000502
XLOC_006883,1.5,0.000507
APOF,-1.16,0.000519
SPATC1,-0.9025,0.0005312897095150105
PEX26,-0.4415,0.0005422420674171637
C15orf48,0.769,0.000548
GGT8P,-0.625,0.000573
ATCAY,0.5569999999999999,0.000573713499872961
FAM166B,-1.42,0.000575
SLC2A2,-0.728,0.000577
HMGN1,0.33699999999999997,0.0005869607990746663
B4GALNT1,0.472,0.000596
SMPDL3A,0.907,0.000597
CYP2A7,2.28,0.0006
KRT23,-0.4535,0.0006072242812066878
SYCE3,-0.6025,0.0006171369361840445
CA2,0.772,0.000631
ACAT2,-0.431,0.000658
RTN4R,0.715,0.000683
CYP2E1,-0.916,0.000686
SLC26A4,-0.513,0.000686
SCHIP1,-0.473,0.000689
HLA-F,0.4185,0.0006976379309592525
CYP4F11,0.35550000000000004,0.0006985528685248548
HSD3B1,-1.79,0.000702
NRADDP,1.72,0.000704
INTS6,-0.5466666666666667,0.000713805535035311
HCP5,0.684,0.000716
CNKSR3,-0.4435,0.0007184359155524884
MYO1A,-0.622,0.000728
SERINC2,0.721,0.000734
RNF186,1.34,0.000748
ELF3,0.537,0.000757
CRP,-0.6515,0.0007606852188024028
ANGPTL3,0.968,0.000765
PLG,-0.874,0.000774
STAT4,-0.611,0.000778683919289551
PHYHIP,0.755,0.00078
CAPN12,-0.512,0.000783
C10orf27,-0.4455,0.0007845016757971652
TMEM38A,0.461,0.000787
CHST2,-1.1,0.00079
MOXD1,-0.472,0.000796
CYP2A13,2.17,0.000808
NEBL,0.4478333333333333,0.0008112091542123743
C12orf28,-1.42,0.000815
LOC284276,0.055999999999999994,0.0008197770098590879
C1orf170,0.893,0.00082
ULK1,0.434,0.000823
PAGE4,-1.6,0.000825
BCL7A,0.762,0.000836
NPM2,0.3185,0.0008363576761232829
TNFRSF9,1.49,0.00084
AZGP1,0.757,0.000841
ARL14,-0.742,0.000847
TMEM52,-0.46699999999999997,0.0008470447447056052
SIRPA,0.487,0.000849
INHBE,-0.99,0.000855
FMO1,-1.02,0.00087
SERPINB9,1.21,0.00089
KRT18P55,-0.379,0.000892
HOGA1,-0.4736666666666666,0.0008984938332905318
SELE,-0.6805000000000001,0.0009040048133524396
PCK1,-2.65,0.00091
XLOC_005441,-1.67,0.000915
C19orf46,0.868,0.000917
IFI44L,-1.04,0.000922
IFT80,-0.653,0.000923
ZNF462,0.679,0.000938
TOMM40,-0.2515,0.0009401420838797572
FGFR3,-0.521,0.0009457769658643891
PGD,0.876,0.000948
CDK1,-0.995,0.000958
PRTFDC1,-0.35566666666666663,0.0009596909619283526
PPARD,0.5215,0.0009613961529152032
ASPG,0.896,0.000964
GALT,-0.40149999999999997,0.0009681377403846424
SIX4,1.21,0.000975
STK24,0.3765,0.0009761702442116994
F2RL1,-0.605,0.000979
APOBEC3B,0.373,0.00098
ST3GAL5,0.438,0.000984
CDHR5,-0.4665,0.0009863038203580872
CCNB2,-0.799,0.000996
CYP4F8,0.806,0.001
SULT1C3,-1.26,0.00102
SPIB,-0.509,0.00103
