GENE_SYMBOL,logFC,P.Value,FDR,-log10(FDR),significant
CYP3A5,1.086,4.4276057057068766e-08,0.0005823511121480474,3.234815090795813,True
CYP2B6,2.255,5.68388453751824e-08,0.0005823511121480474,3.234815090795813,True
CYP3A7,1.3920000000000001,7.91560571086105e-08,0.0005823511121480474,3.234815090795813,True
MAFB,-0.5640000000000001,8.811664661223837e-07,0.004862056268446783,2.313180019385209,True
CYP3A4,3.92,3.31e-06,0.012783219690734007,1.8933597472878445,True
KCNMA1,1.2995,3.475117491024604e-06,0.012783219690734007,1.8933597472878445,True
LOC100131726,2.21,5.13e-06,0.01617489,1.791158664140279,True
NPPB,0.7295,7.859460414141707e-06,0.01892083533421386,1.7230596938839453,True
GK,-0.59275,8.409973400892129e-06,0.01892083533421386,1.7230596938839453,True
CYP4A11,-0.8500000000000001,8.572713213816256e-06,0.01892083533421386,1.7230596938839453,True
CYP2A7,2.72,9.75e-06,0.01956293181818182,1.7085660586975266,True
CRIP1,-0.5146666666666667,1.3869486847083539e-05,0.021223096908956147,1.6731912428505267,True
PRODH2,0.898,1.416e-05,0.021223096908956147,1.6731912428505267,True
C8orf84,-0.94,1.445e-05,0.021223096908956147,1.6731912428505267,True
AQP7P1,-0.4183333333333333,1.482494038346127e-05,0.021223096908956147,1.6731912428505267,True
VSIG10L,0.7475,1.5385326924167384e-05,0.021223096908956147,1.6731912428505267,True
LOC643037,-1.02,2.23e-05,0.02895195882352941,1.5383220475679518,True
CYP2A13,2.48,2.491e-05,0.030543811666666667,1.515076766804638,True
CYB5A,0.865,2.811356239376318e-05,0.03265760187330249,1.4860157097227549,True
RFPL4A,-0.6165,3.0128727438706304e-05,0.033248557164984344,1.4782271963422755,True
THRSP,1.54,3.61e-05,0.0379411,1.4208900820661,True
CD14,0.971,3.879e-05,0.03891518590909091,1.4098808904599882,True
AZGP1,0.8,4.293e-05,0.04119600130434782,1.3851449367759927,True
SEC14L4,0.389,4.866909386532825e-05,0.04475731544590249,1.349135970445638,True
CAPN13,0.6799999999999999,5.214874896102602e-05,0.046039001532752206,1.3368741036677494,True
FGF10,0.94,5.562e-05,0.04721496230769231,1.3259203526805157,True
ALDOB,-0.6255,5.903919864602335e-05,0.04826126493764376,1.316401299330689,True
GPX2,0.817,7.01e-05,0.05378474379310345,1.269340895822072,False
MBL2,1.04,7.067e-05,0.05378474379310345,1.269340895822072,False
KMO,-0.438,8.099674464671657e-05,0.05958930503658938,1.2248316795279626,False
OR2L8,1.24,9.019e-05,0.06421237064516129,1.1923812961463176,False
TLE6,0.5285,9.390581409955142e-05,0.06476860071847498,1.1886354854813757,False
GRIA3,-0.4076666666666667,0.00011035598473213581,0.07380808906130211,1.1318960386895165,False
ALAS1,1.5,0.00011417,0.07411311970588236,1.130104905225561,False
ALPI,1.6,0.00011759,0.074152254,1.129875643221111,False
DIO1,1.47,0.00014307,0.08683939416745559,1.061283215050054,False
UGT1A6,0.359,0.00014557825128883406,0.08683939416745559,1.061283215050054,False
CYP4F3,1.05,0.00015395,0.08922182303621522,1.0495289072266605,False
NR6A1,0.77,0.000157657156377708,0.08922182303621522,1.0495289072266605,False
G6PC,-0.987,0.00017302,0.0954681105,1.0201416728843915,False
LRRC55,1.17,0.00018758,0.09892012,1.004715365467774,False
NEFL,0.61,0.00018824,0.09892012,1.004715365467774,False
CYP2C8,2.0,0.00019607,0.10063862720930233,0.9972352959795999,False
IGF1,-0.3175,0.00021668181773954403,0.10869055453021537,0.9638081955056385,False
CYP1B1-AS1,0.953,0.00023444,0.11375681282608695,0.9440225842605254,False
PKLR,-0.598,0.00023709,0.11375681282608695,0.9440225842605254,False
POC1A,0.6,0.00025843,0.118852335,0.9249922816038381,False
PRAMEF10,0.849,0.00025848,0.118852335,0.9249922816038381,False
TXNIP,-0.66,0.00026782,0.12063378,0.9185310635608183,False
MPV17L,0.635,0.00029362,0.1296097404,0.8873623592446385,False
OSTBETA,1.45,0.00031032,0.13378548267965507,0.8735910101420225,False
ATCAY,0.8215,0.00031520298578868484,0.13378548267965507,0.8735910101420225,False
LDLRAD1,1.3849999999999998,0.00032336514319583756,0.13466022783915718,0.8707606550603724,False
HRASLS2,-0.624,0.00034644,0.14159772666666667,0.8489437191324617,False
GPR64,-0.3395,0.0003703980351317767,0.14863736424351714,0.8278720045388444,False
ANK3,-0.23719600000000002,0.0003862878148353297,0.15025317263157895,0.8231763489968311,False
HTR3C,-1.23,0.00038804,0.15025317263157895,0.8231763489968311,False
LINC00238,-0.388,0.00040016151619631183,0.15227525558566893,0.8173706628864491,False
FGA,-0.25266666666666665,0.00043388580371347306,0.16231006057220448,0.7896545601763602,False
CYP2C9,0.932,0.00044392,0.16321070646861457,0.7872513553387342,False
CNTLN,0.50475,0.0004510830091335005,0.16321070646861457,0.7872513553387342,False
C1orf111,-0.647,0.00048062,0.17109296806451613,0.7667678396321043,False
SGK2,0.509,0.00052353,0.18341001,0.7365769654537275,False
SLC25A47,-0.886,0.00053293,0.18378590671875003,0.7356877947396111,False
SERPINE2,0.545,0.00056223,0.19090735892307692,0.7191773304953475,False
C3orf25,-0.534,0.00058333,0.195070855,0.7098076125029195,False
CPS1,-0.548,0.00062097,0.20239756147058824,0.6937947242741714,False
NEFM,1.63,0.00062358,0.20239756147058824,0.6937947242741714,False
ID1,-0.693,0.00063921,0.2044638247826087,0.6893835193780955,False
BTBD11,0.749,0.00066749,0.210459597,0.6768312655485923,False
CYP4A22,-0.779,0.00068597,0.21324005450704228,0.6711312151355155,False
EFS,-0.931,0.00073515,0.2209542524,0.6556976357577938,False
C6,-0.909,0.00074129,0.2209542524,0.6556976357577938,False
PCK1,-1.27,0.00074487,0.2209542524,0.6556976357577938,False
TXNRD3NB,0.702,0.00075083,0.2209542524,0.6556976357577938,False
LOC100507055,-0.663,0.00079084,0.22811227384615385,0.6418513463750486,False
EPHX1,0.881,0.00080302,0.22811227384615385,0.6418513463750486,False
CYP2C19,0.963,0.00080616,0.22811227384615385,0.6418513463750486,False
ATOH8,-0.32796000000000003,0.0008180685114632052,0.22855177362663798,0.6410154041131189,False
CYP3A43,1.14,0.00084565,0.23157111185185186,0.6353156191494617,False
ENTPD8,-0.679,0.00084986,0.23157111185185186,0.6353156191494617,False
MARCKSL1,0.478,0.00086355,0.2324318542682927,0.63370435311074,False
AQP3,-0.3215,0.0008870672463877167,0.2358850746388349,0.6272995377369597,False
SERPINF2,-0.641,0.00091783,0.2411598325,0.6176950264502037,False
NR1I3,-0.554,0.0009381022647735693,0.24358653042138173,0.6133467305112533,False
MOCS1,0.268,0.0009546350105692387,0.24436402344827587,0.6119627328320594,False
VNN2,-0.488,0.00096324,0.24436402344827587,0.6119627328320594,False
TBX15,-0.55,0.0009751484859390199,0.2443903040996437,0.6119160282148823,False
TLR4,0.385,0.0009854894234456206,0.2443903040996437,0.6119160282148823,False
