GENE_SYMBOL,logFC,P.Value,FDR,-log10(FDR),significant
CYP2B6,1.139,1.6974328610286384e-08,0.0003746404067576308,3.426385383699982,True
CYP3A4,3.36,9.26e-08,0.0010218873,2.9905969982198854,True
CYP3A7,1.1915,1.0741897855997164e-06,0.007902814252657113,2.1022182255761566,True
CYB5A,0.7175,4.106366918999793e-06,0.022657906067311107,1.644780227986803,True
GRIA3,-0.49166666666666664,1.0960429408876555e-05,0.04807524387699341,1.3180785039867502,True
CYP3A5,0.9,1.3069252107378935e-05,0.04807524387699341,1.3180785039867502,True
LILRA3,-1.23,3.3e-05,0.09691175454545455,1.0136235436445513,False
CYP2A13,1.39,3.55e-05,0.09691175454545455,1.0136235436445513,False
CYP2A7,1.59,4.21e-05,0.09691175454545455,1.0136235436445513,False
CH25H,-0.96,4.53e-05,0.09691175454545455,1.0136235436445513,False
BMP10,0.916,4.83e-05,0.09691175454545455,1.0136235436445513,False
CAPN13,0.5515,7.067884862145982e-05,0.12999607232701998,0.8860697691737056,False
ST5,0.6362,8.789361886059811e-05,0.1492230816824816,0.8261639954154655,False
FOXP2,0.6083333333333333,0.00011453578636552183,0.1669119375,0.7775126015773133,False
SLC22A12,0.666,0.000116,0.1669119375,0.7775126015773133,False
NOXRED1,1.23,0.000121,0.1669119375,0.7775126015773133,False
STYK1,-0.99,0.000142,0.18324331471829006,0.7369718608009851,False
UGT1A6,0.3355,0.00014944405169358983,0.18324331471829006,0.7369718608009851,False
LAMA3,0.496,0.00016535740659432148,0.19208438531280367,0.7165079378353914,False
MRAP,-0.436,0.0003631927889652652,0.40080140226261846,0.3970707676950721,False
SLC3A1,-0.8592500000000001,0.0004628410834374531,0.4711016896551724,0.32688533811667664,False
GK,-0.3405,0.0005049327230646749,0.4711016896551724,0.32688533811667664,False
HOXC4,-0.608,0.000536,0.4711016896551724,0.32688533811667664,False
VLDLR,0.441,0.000581585316874614,0.4711016896551724,0.32688533811667664,False
THRSP,1.1,0.000588,0.4711016896551724,0.32688533811667664,False
LOC284581,-0.467,0.000602,0.4711016896551724,0.32688533811667664,False
SLC35F1,0.8414999999999999,0.0006066958790744852,0.4711016896551724,0.32688533811667664,False
C1orf111,-0.722,0.000613,0.4711016896551724,0.32688533811667664,False
CD14,0.597,0.000619,0.4711016896551724,0.32688533811667664,False
EREG,-1.16,0.000768,0.5650176,0.24793802392598893,False
NAT8B,-0.379,0.0009344007840695817,0.6280775999999999,0.20198669516441548,False
CYP2C8,1.44,0.000941,0.6280775999999999,0.20198669516441548,False
CCL20,-0.481,0.000943,0.6280775999999999,0.20198669516441548,False
AZFP,-0.859,0.000982,0.6280775999999999,0.20198669516441548,False
SYTL5,-0.694,0.000996,0.6280775999999999,0.20198669516441548,False
XLOC_002886,1.08,0.00105,0.6437375,0.19129119093518773,False
AZGP1,0.601,0.00108,0.6442345945945946,0.19095595781788377,False
MOXD1,-0.442,0.00113,0.6563218421052631,0.18288314237122896,False
C5orf49,-1.37,0.00118,0.6567468292682926,0.1826020152828258,False
IFT80,-0.565,0.0012,0.6567468292682926,0.1826020152828258,False
NAT8,-0.412,0.00122,0.6567468292682926,0.1826020152828258,False
FAM55C,0.627,0.00128,0.66213,0.17905673451817608,False
CYP3A43,1.04,0.00129,0.66213,0.17905673451817608,False
