GENE_SYMBOL,logFC,P.Value,FDR,-log10(FDR),significant
ABCA1,2.73,3.729430663090391e-09,8.231226416506803e-05,4.0845354520003685,True
GRIA3,-0.9396666666666667,1.1026385862305824e-08,9.322188726374505e-05,4.0304821090848995,True
SLC3A1,-1.2175,1.2671182175308558e-08,9.322188726374505e-05,4.0304821090848995,True
CYP3A5,1.255,1.914534524528582e-08,9.778569910508488e-05,4.009724654965795,True
KCNMA1,1.4137499999999998,2.4950605307290688e-08,9.778569910508488e-05,4.009724654965795,True
LPIN1,0.8966666666666666,2.6583036320534154e-08,9.778569910508488e-05,4.009724654965795,True
CAPN13,1.23,7.081783561741354e-08,0.0002232886357017049,3.6511333798288454,True
GK,-0.8074999999999999,9.838624928259708e-08,0.00027143536348952504,3.566333571680475,True
RFPL4A,-1.125,1.250911612048917e-07,0.0003067652243281294,3.5131938746396663,True
ACACA,0.724,2.67721413237934e-07,0.0005908879311574441,3.228494880362612,True
CYP2B6,2.145,5.605666574814413e-07,0.0011247515179338991,2.94894341205004,True
BCAS1,1.049,6.428724011897228e-07,0.0011824030638881977,2.9272344535872623,True
UGT1A6,0.6475,8.340283752919888e-07,0.001384167,2.858811509009974,True
MPV17L,2.15,8.78e-07,0.001384167,2.858811509009974,True
CYP4A11,-1.9,1.0244437239312003e-06,0.001507366495392368,2.8217811421277323,True
LOC100132273,0.917,1.316192658863711e-06,0.001733473064910804,2.7610829021192016,True
NRP1,-0.676,1.4225948813355573e-06,0.001733473064910804,2.7610829021192016,True
CYP3A7,1.25,1.4383802464000693e-06,0.001733473064910804,2.7610829021192016,True
PTGFR,-0.6973333333333334,1.4922743977756004e-06,0.001733473064910804,2.7610829021192016,True
CIDEC,-0.7105,1.6048836478945498e-06,0.0017710693496340304,2.751764432839453,True
VSIG10L,0.87,1.9582600137309514e-06,0.00205813127443123,2.686526927949261,True
TLR4,1.006,2.073220504693094e-06,0.002079911352685513,2.6819551745852834,True
CYB5A,0.9365,2.242704254529676e-06,0.0021521185044228036,2.6671338183216706,True
THRSP,4.7,2.36e-06,0.002170315,2.663477227979338,True
AQP7P1,-0.7123333333333334,2.60937566883503e-06,0.0022152744444444445,2.6545724625224203,True
ABCG1,5.15,2.7e-06,0.0022152744444444445,2.6545724625224203,True
NEFL,1.43,2.71e-06,0.0022152744444444445,2.6545724625224203,True
RCL1,-0.45399999999999996,4.406956590096795e-06,0.0034716474294274476,2.459464386960138,True
SEC14L4,0.54,4.561541183154183e-06,0.0034716474294274476,2.459464386960138,True
ALPI,1.99,4.79e-06,0.0034992361945871673,2.4560267421287447,True
HADH,1.33,4.99e-06,0.0034992361945871673,2.4560267421287447,True
FASN,2.23,5.15e-06,0.0034992361945871673,2.4560267421287447,True
LAMA4,-0.490875,5.255025464560779e-06,0.0034992361945871673,2.4560267421287447,True
KMO,-0.642,5.3905138242926775e-06,0.0034992361945871673,2.4560267421287447,True
MID1IP1,1.81,5.76e-06,0.003632256,2.439823550164902,True
MRAP,-1.3250000000000002,6.0218166832567875e-06,0.0036861190703680966,2.433430640150963,True
ABCD1,0.5823333333333333,6.179439336850146e-06,0.0036861190703680966,2.433430640150963,True
NR6A1,1.0899999999999999,7.268452658493814e-06,0.004125579230769231,2.384515067946363,True
AGXT2L1,2.45,7.29e-06,0.004125579230769231,2.384515067946363,True
DIO1,2.34,9.96e-06,0.0053652394702977425,2.2704108891112846,True
CD14,1.73,1.02e-05,0.0053652394702977425,2.2704108891112846,True
FADS2,0.807,1.0209780152802555e-05,0.0053652394702977425,2.2704108891112846,True
LAMA3,0.6890000000000001,1.3239496203491905e-05,0.006671461363636363,2.17577902475694,True
APOC1,1.49,1.33e-05,0.006671461363636363,2.17577902475694,True
HSD11B1,-0.96,1.53e-05,0.0075041399999999986,2.1246990721955834,True
FGF1,-0.316,1.756965272194387e-05,0.008242842857142859,2.0839229795359224,True
LDLRAD1,1.65,1.7800731975243905e-05,0.008242842857142859,2.0839229795359224,True
CYP2S1,1.625,1.81378135403672e-05,0.008242842857142859,2.0839229795359224,True
BTBD11,1.51,1.83e-05,0.008242842857142859,2.0839229795359224,True
XLOC_013837,-0.479,1.904296170385899e-05,0.008405944155317435,2.0754134995456717,True
SREBF1,1.1438000000000001,2.04871699162621e-05,0.008794412296751774,2.055793177787627,True
PDE4D,-0.596025,2.0719923856240867e-05,0.008794412296751774,2.055793177787627,True
CSGALNACT1,-0.771,2.1574030312383026e-05,0.008910144444444445,2.0501152554562023,True
FASLG,-1.44,2.18e-05,0.008910144444444445,2.0501152554562023,True
VLDLR,0.802,2.221142916240285e-05,0.00891324460078897,2.049964175231939,True
C8orf84,-1.15,2.44e-05,0.009616650000000001,2.0169761899053094,True
LINC00263,2.28,2.51e-05,0.009718984210526317,2.012379123429292,True
CYP3A4,3.28,2.59e-05,0.009855843103448276,2.0063062187195237,True
ADRA2C,0.817,2.74e-05,0.010249922033898306,1.9892794380595946,True
MYLIP,2.32,2.91e-05,0.010704435,1.9704362506355748,True
ALAS1,1.69,2.97e-05,0.010746044262295083,1.9687513749313932,True
AQP3,-0.6145,3.14576335713598e-05,0.011012208620264302,1.958125569729544,True
PRODH2,0.888,3.17e-05,0.011012208620264302,1.958125569729544,True
